y,height,labelclass_index,x,filename,width,labelclass_name,filepath,Exist,im_width,im_height,x_min,x_max,y_min,y_max,x_c,y_c
0.443296,0.0233204,1,0.609321,TABORA/TAB_3/UG_GAME_CAMERAS_TABORA_TAB_3_20170128_106EK113_09260588.JPG,0.0162217,Wildebeest,/home/data/cameratraps/TABORA/TAB_3/UG_GAME_CAMERAS_TABORA_TAB_3_20170128_106EK113_09260588.JPG,True,2592.0,1944.0,1558.0,1600.0,839.0,884.0,1579.0,862.0
0.451218,0.0263474,1,0.871423,TABORA/TAB_3/UG_GAME_CAMERAS_TABORA_TAB_3_20170128_106EK113_09260588.JPG,0.0291143,Wildebeest,/home/data/cameratraps/TABORA/TAB_3/UG_GAME_CAMERAS_TABORA_TAB_3_20170128_106EK113_09260588.JPG,True,2592.0,1944.0,2221.0,2296.0,852.0,903.0,2258.0,878.0
0.451869,0.01885,1,0.918689,TABORA/TAB_3/UG_GAME_CAMERAS_TABORA_TAB_3_20170128_106EK113_09260588.JPG,0.0221572,Wildebeest,/home/data/cameratraps/TABORA/TAB_3/UG_GAME_CAMERAS_TABORA_TAB_3_20170128_106EK113_09260588.JPG,True,2592.0,1944.0,2353.0,2410.0,860.0,897.0,2382.0,878.0
0.514603,0.0439357,1,0.882613,TABORA/TAB_3/UG_GAME_CAMERAS_TABORA_TAB_3_20170128_106EK113_09260588.JPG,0.0221572,Wildebeest,/home/data/cameratraps/TABORA/TAB_3/UG_GAME_CAMERAS_TABORA_TAB_3_20170128_106EK113_09260588.JPG,True,2592.0,1944.0,2259.0,2316.0,958.0,1043.0,2288.0,1000.0
0.414824,0.0418125,1,0.822124,TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,0.0501963,Wildebeest,/home/data/cameratraps/TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,True,2592.0,1944.0,2066.0,2196.0,766.0,847.0,2131.0,806.0
0.339354,0.0174562,1,0.309656,TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,0.01561,Wildebeest,/home/data/cameratraps/TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,True,2592.0,1944.0,782.0,823.0,643.0,677.0,802.0,660.0
0.33863,0.0122958,1,0.360472,TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,0.0290768,Wildebeest,/home/data/cameratraps/TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,True,2592.0,1944.0,897.0,972.0,646.0,670.0,934.0,658.0
0.35424,0.0208828,1,0.00984952,TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,0.0222012,Wildebeest,/home/data/cameratraps/TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,True,2592.0,1944.0,0.0,54.0,668.0,709.0,27.0,688.0
0.357103,0.0262926,1,0.181382,TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,0.0192868,Wildebeest,/home/data/cameratraps/TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,True,2592.0,1944.0,445.0,495.0,669.0,720.0,470.0,694.0
0.36192,0.0198561,1,0.217386,TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,0.0316293,Wildebeest,/home/data/cameratraps/TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,True,2592.0,1944.0,522.0,604.0,684.0,723.0,563.0,704.0
0.365878,0.0246142,1,0.371623,TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,0.0161754,Wildebeest,/home/data/cameratraps/TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,True,2592.0,1944.0,942.0,984.0,687.0,735.0,963.0,711.0
0.365117,0.0224683,1,0.437119,TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,0.0170654,Wildebeest,/home/data/cameratraps/TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,True,2592.0,1944.0,1111.0,1155.0,688.0,732.0,1133.0,710.0
0.365273,0.0216959,1,0.453383,TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,0.0197105,Wildebeest,/home/data/cameratraps/TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,True,2592.0,1944.0,1150.0,1201.0,689.0,731.0,1176.0,710.0
0.371039,0.0214414,1,0.313,TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,0.036933,Wildebeest,/home/data/cameratraps/TABORA/TAB_4/UG_GAME_CAMERAS_TABORA_TAB_4_20170128_102EK113_08170786.JPG,True,2592.0,1944.0,763.0,859.0,700.0,742.0,811.0,721.0
